"conta","texto","url","data"
"jairbolsonaro","Nos próximos dias realizaremos um “Revogaço”, anulando centenas de decretos desnecessários que hoje só servem para dar volume ao nosso já inchado Estado e criar burocracias que só atrapalham. Daremos continuidade ao processo. Vamos desregulamentar e diminuir o excesso de regras!","https://twitter.com/jairbolsonaro/status/1115591497674395648","2019-04-09 08:25:14 EDT"
"Astro_Pontes","I posted a new video to Facebook https://www.facebook.com/astronauta.marcospontes/videos/1098213433720334/","https://twitter.com/Astro_Pontes/status/1115590124295806978","2019-04-09 08:19:46 EDT"
"SF_Moro","O episódio confirma que, quando as forças de segurança pública, federais e estaduais, se integram e atuam juntas não há como o crime organizado fazer frente. Abaixo um link da época. Continuo a retrospectiva adiante. https://www.justica.gov.br/news/collective-nitf-content-1546628900.09","https://twitter.com/SF_Moro/status/1115583448809443328","2019-04-09 07:53:15 EDT"
"SF_Moro","O pico dos ataques foi no dia 06 de janeiro (74), mas até o final do mês os ataques ficaram escassos. Recentemente, no dia 01/04, houve uma tentativa extemporânea de novo atentado e que resultou apenas na prisão dos envolvidos, conforme notícia que já postei anteriormente aqui.","https://twitter.com/SF_Moro/status/1115583447681130496","2019-04-09 07:53:15 EDT"
"SF_Moro","Como se aproximam os cem dias de Governo do Presidente Jair Bolsonaro, vou aproveitar para lembrar algumas atuações do MJSP desde janeiro.","https://twitter.com/SF_Moro/status/1115583443298127872","2019-04-09 07:53:14 EDT"
"SF_Moro","Disponibilizamos vagas em presídios federais, transportamos e isolamos as lideranças das organizações criminosas. O Governo Estadual também fez um excelente trabalho.","https://twitter.com/SF_Moro/status/1115583446586396672","2019-04-09 07:53:14 EDT"
"SF_Moro","O Governo Federal e o Governo Estadual uniram-se e agiram rápido. Enviamos a Força Nacional já no dia 04/01. Também enviamos uma força de intervenção penitenciária para vasculhar e controlar presídios. PF e PRF intensificaram seus trabalhos no Ceará.","https://twitter.com/SF_Moro/status/1115583445395177472","2019-04-09 07:53:14 EDT"
"SF_Moro","Já na primeira semana de Governo, surgiu a crise de segurança no Estado do Ceará. Grupos criminosos organizados se uniram para atacar alvos civis e intimidar a sociedade e o poder público. Tentaram até explodir pontes e viadutos.","https://twitter.com/SF_Moro/status/1115583444275347456","2019-04-09 07:53:14 EDT"
"jairbolsonaro","O governo do quinto maior país do mundo em pouco menos de 100 dias tem feito de tudo e fará muito mais para que a população sinta que está sendo atendida. Esta é a linha de nossos esforços. Assista o vídeo: https://t.co/10wy7aCE1X","https://twitter.com/jairbolsonaro/status/1115560686686543872","2019-04-09 06:22:48 EDT"
"BolsonaroSP","Ela foi acusada por uma revista de ser um robô devido ao seu comportamento altamento ativo nas redes sociais pró JB. Igual a ela certamente existem vários outros casos de anônimos que batalharam como nunca nas eleições de 2018. Até hoje parte da imprensa n entendeu este movimento https://twitter.com/mariang69423516/status/1114619533229162497","https://twitter.com/BolsonaroSP/status/1115530991265882112","2019-04-09 04:24:48 EDT"
"GeneralMourao","Ainda em Washington, participei de uma ""mesa redonda"" com empresários e investidores norte-americanos na @USChamber , reforçando os temas apresentadas para outros CEO's na visita do Presidente @jairbolsonaro , em especial a #NovaPrevidência e outras reformas em curso no Brasil. https://t.co/BYeRfDdOOx","https://twitter.com/GeneralMourao/status/1115441734253731840","2019-04-08 22:30:08 EDT"
"BolsonaroSP","Quando disse que o problema do Oriente Médio é o suporte que o Irã dá a grupos terroristas é sobre isso que estou falanso. Assista. https://twitter.com/idf/status/1115267423551332355","https://twitter.com/BolsonaroSP/status/1115437091180228608","2019-04-08 22:11:41 EDT"
"BolsonaroSP","Isso que é meta! 👏👏👏 https://twitter.com/tarcisiogdf/status/1115389437263978498","https://twitter.com/BolsonaroSP/status/1115435699849895936","2019-04-08 22:06:09 EDT"
"BolsonaroSP","Afastar Carlos de Jair Bolsonaro seria um tremendo erro que só interessa a parte da imprensa incentivar. Combater o sistema significa uma luta diária, ranger de dentes e etc. Sabíamos que seria assim. Vamos adiante! 🇧🇷👊 https://twitter.com/carlosbolsonaro/status/1115406639031566337","https://twitter.com/BolsonaroSP/status/1115435481855135744","2019-04-08 22:05:17 EDT"
"BolsonaroSP","Conheça um pouco do novo Ministro da Educação, Prof. Abraham Weintraub concursado da UNIFESP. https://t.co/Y0OlT2dvby","https://twitter.com/BolsonaroSP/status/1115434592427814912","2019-04-08 22:01:45 EDT"
"SF_Moro","Hoje, eu e minha equipe nos reunimos com o Senador Marcos do Val e a equipe dele para discutir o projeto de lei anticrime. Ele é o Relator de um dos projetos no Senado. Muito boa conversa. https://t.co/PIlbowKWux","https://twitter.com/SF_Moro/status/1115412736639369217","2019-04-08 20:34:54 EDT"
"CarlosBolsonaro","Sabemos da importância de cada brasileiro no intuito de não deixar o Brasil se tornar numa Venezuela nas últimas eleições. Pai, muito obrigado pela consideração que compartilho com todos os brasileiros e que de certa forma contribuem e confiam no trabalho do senhor! Seguimos! https://t.co/AEqBpspURO","https://twitter.com/CarlosBolsonaro/status/1115406639031566337","2019-04-08 20:10:40 EDT"
"GeneralMourao","Na conversa que tive hoje com o @VP Mike Pence, em Washington-EUA, pudemos nos conhecer e abrir canais de diálogo entre os vice-presidentes e reforçamos os temas abordados no encontro extremamente gratificante do Presidente @jairbolsonaro com o Presidente @realDonaldTrump https://t.co/QZ9yLygH2a","https://twitter.com/GeneralMourao/status/1115393855636037632","2019-04-08 19:19:52 EDT"
"jairbolsonaro","08/04/2019 - Entrevista inédita cedida a @augustosnunes da Jovem Pan sobre temas atuais. Assista: http://youtu.be/FSOAahACt_Y","https://twitter.com/jairbolsonaro/status/1115393682583298048","2019-04-08 19:19:11 EDT"
"tarcisiogdf","Cumprimos a meta de conceder 23 ativos (aeroportos, portos e Ferrovia Norte-Sul) nos 100 primeiros dias de governo @jairbolsonaro. Hoje apresentamos uma nova estratégia. Tornar o Brasil líder em infraestrutura da América Latina. Saiba mais aqui: @MInfraestrutura 🇧🇷🛣🛤✈️ https://t.co/TLSC3HWEcg","https://twitter.com/tarcisiogdf/status/1115389437263978498","2019-04-08 19:02:19 EDT"
"onyxlorenzoni","Falando sobre Liberdade! #ForumdaLiberdade https://t.co/Lju6JBtnSR","https://twitter.com/onyxlorenzoni/status/1115386135394639874","2019-04-08 18:49:12 EDT"
"DamaresAlves","Vamos incentivar os jovens do Brasil a empreenderem, principalmente em relação a novas tecnologias. https://twitter.com/DHumanosBrasil/status/1113868843972218881","https://twitter.com/DamaresAlves/status/1115381911747272704","2019-04-08 18:32:25 EDT"
"BolsonaroSP","Salomão não tinha discurso de ódio, ele pediu a Deus sabedoria. Surra significa desbancar o tolo q começou a discussão igualmente tola. Busco guardar este provérbio comigo. A todos os não tolos cabe o debate para convencer através de argumentos. Pena q nem todos pensem assim... https://t.co/bOGVVHYuYc","https://twitter.com/BolsonaroSP/status/1115376001159245824","2019-04-08 18:08:56 EDT"
"DamaresAlves","Orgulho de meu presidente. https://twitter.com/jairbolsonaro/status/1115328534271221760","https://twitter.com/DamaresAlves/status/1115373039682752513","2019-04-08 17:57:09 EDT"
"DamaresAlves","Quem me conhece sabe o carinho que tenho pelo povo cigano. Brasileiros e brasileiras até então invisíveis e que agora terão a atenção toda especial deste governo. Esta é a determinação de @jairbolsonaro . Ninguém fica para trás. https://twitter.com/SEPPIR/status/1115234823990337536","https://twitter.com/DamaresAlves/status/1115370859819098113","2019-04-08 17:48:30 EDT"
"FlavioBolsonaro","Sem qualquer pudor a esquerda exalta um criminoso. Tirem suas próprias conclusões, a imagem circula na internet e faz voltar a pergunta: QUEM MANDOU MATAR BOLSONARO? https://twitter.com/bolsonarosp/status/1115329510461906945","https://twitter.com/FlavioBolsonaro/status/1115354189822144512","2019-04-08 16:42:15 EDT"
"DamaresAlves","Em breve, os produtos da empresa devem trazer a divulgação do Ligue 180, principal canal para reportar casos de violência contra a mulher. Também queremos aproveitar a capilaridade das promotoras para incentivar denúncias. #SalveUmaMulher","https://twitter.com/DamaresAlves/status/1115342370772586499","2019-04-08 15:55:17 EDT"
"BolsonaroSP","Meu Deus!!! Na melhor das hipóteses então há aí uma vidente e não uma jornalista. Podem pedir a ela os números da mega-sena também, garantia de sucesso com 12 dias de antecedência ou seu dinheiro de volta! https://t.co/hdRTxwOmtY","https://twitter.com/BolsonaroSP/status/1115341923705925640","2019-04-08 15:53:31 EDT"
"DamaresAlves","Acompanhada da secretária Nacional de Políticas para Mulheres, Tia Eron, recebi hoje as equipes da Avon e do Instituto Avon. Discutimos parcerias no combate à violência doméstica e em outras ações prioritárias deste Ministério. #SalveUmaMulher #PátriaAmadaBrasil https://t.co/l6WPYsDUGw","https://twitter.com/DamaresAlves/status/1115341486890074114","2019-04-08 15:51:47 EDT"
"BolsonaroSP","Excelente sinal! Esquerdistas em polvorosa pela nomeação do Prof. Abraham Weintraub! E eles já estão confundindo o Abraham com o Arthur mas, é claro, essa confusão é sem querer talkei (ironia).Assim q eles perceberam vão pedir desculpas e assumir a fake news que estão divulgando","https://twitter.com/BolsonaroSP/status/1115338254755217408","2019-04-08 15:38:56 EDT"
"BolsonaroSP","Alguém surpreso? Broche ""Adélio vive"". *Via @SnapBolsonaro https://t.co/sIRnuPv06J","https://twitter.com/BolsonaroSP/status/1115329510461906945","2019-04-08 15:04:11 EDT"
"jairbolsonaro","Agradeço desde já pela honrosa homenagem! https://t.co/gbfnwFrpSA","https://twitter.com/jairbolsonaro/status/1115328534271221760","2019-04-08 15:00:19 EDT"
